denoiser,problem,algorithm,schedule,rho,step,red_input_sigma,lambda,mean_final_psnr,mean_gap_psnr,fail_rate,n
wavelet,blur,red_gd,fixed20p0,0.8,4.0,15.0,0.2,19.256151242476783,-1.072950235787165,1.0,40
wavelet,blur,red_gd,fixed20p0,0.8,4.0,15.0,0.5,18.9777240546343,-1.3513774236296443,1.0,40
wavelet,blur,red_gd,fixed20p0,0.8,8.0,15.0,0.02,20.967697431912487,0.6385959536485402,0.050000000000000044,40
wavelet,blur,red_gd,fixed20p0,0.8,8.0,15.0,0.05,20.062857851685518,-0.266243626578426,0.75,40
wavelet,blur,red_gd,fixed20p0,0.8,8.0,15.0,0.1,19.483730112097863,-0.8453713661660824,1.0,40
wavelet,blur,red_gd,fixed20p0,0.8,8.0,15.0,0.2,18.873339589438835,-1.455761888825108,1.0,40
wavelet,blur,red_gd,fixed20p0,0.8,8.0,15.0,0.5,13.812807412660593,-6.516294065603352,1.0,40
wavelet,blur,red_gd,fixed25p0,0.8,1.0,15.0,0.02,22.03778617604358,1.7086846977796326,0.0,40
wavelet,blur,red_gd,fixed25p0,0.8,1.0,15.0,0.05,20.936599324635964,0.607497846372018,0.050000000000000044,40
wavelet,blur,red_gd,fixed25p0,0.8,1.0,15.0,0.1,20.150605193915403,-0.17849628434854187,0.65,40
wavelet,blur,red_gd,fixed25p0,0.8,1.0,15.0,0.2,19.52732891367713,-0.8017725645868164,0.975,40
wavelet,blur,red_gd,fixed25p0,0.8,1.0,15.0,0.5,18.972286200689815,-1.3568152775741327,1.0,40
wavelet,blur,red_gd,fixed25p0,0.8,2.0,15.0,0.02,21.420141666752773,1.0910401884888246,0.0,40
wavelet,blur,red_gd,fixed25p0,0.8,2.0,15.0,0.05,20.31079039647215,-0.01831108179179583,0.55,40
wavelet,blur,red_gd,fixed25p0,0.8,2.0,15.0,0.1,19.652626092313348,-0.6764753859505984,0.95,40
wavelet,blur,red_gd,fixed25p0,0.8,2.0,15.0,0.2,19.268119459236164,-1.0609820190277837,1.0,40
