denoiser,problem,algorithm,schedule,rho,step,red_input_sigma,lambda,mean_final_psnr,mean_gap_psnr,fail_rate,n
wavelet,blur,red_gd,fixed10p0,0.8,8.0,15.0,0.05,21.25258294327624,1.1427163187113867,0.0,144
wavelet,blur,red_gd,fixed10p0,0.8,8.0,15.0,0.1,20.840206664294957,0.7303400397301009,0.06944444444444442,144
wavelet,blur,red_gd,fixed10p0,0.8,8.0,15.0,0.2,19.984711685983992,-0.12515493858086052,0.6180555555555556,144
wavelet,blur,red_gd,fixed10p0,0.8,8.0,15.0,0.5,17.114269553319915,-2.995597071244941,1.0,144
wavelet,blur,red_gd,fixed15p0,0.8,1.0,15.0,0.02,21.85123929855406,1.741372673989204,0.0,144
wavelet,blur,red_gd,fixed15p0,0.8,1.0,15.0,0.05,21.305782155971656,1.1959155314068,0.0,144
wavelet,blur,red_gd,fixed15p0,0.8,1.0,15.0,0.1,20.970837630366944,0.860971005802087,0.0,144
wavelet,blur,red_gd,fixed15p0,0.8,1.0,15.0,0.2,20.550714583728723,0.4408479591638705,0.20138888888888884,144
wavelet,blur,red_gd,fixed15p0,0.8,1.0,15.0,0.5,19.57938789718397,-0.5304787273808842,0.8402777777777778,144
wavelet,blur,red_gd,fixed15p0,0.8,2.0,15.0,0.02,21.56747949109608,1.4576128665312267,0.0,144
wavelet,blur,red_gd,fixed15p0,0.8,2.0,15.0,0.05,21.093691497174845,0.9838248726099873,0.0,144
wavelet,blur,red_gd,fixed15p0,0.8,2.0,15.0,0.1,20.70416820417513,0.5943015796102732,0.09722222222222221,144
wavelet,blur,red_gd,fixed15p0,0.8,2.0,15.0,0.2,19.92949481786125,-0.18037180670360492,0.6666666666666667,144
wavelet,blur,red_gd,fixed15p0,0.8,2.0,15.0,0.5,19.194024983035487,-0.9158416415293679,0.9930555555555556,144
wavelet,blur,red_gd,fixed15p0,0.8,4.0,15.0,0.02,21.387687286800567,1.277820662235713,0.0,144
wavelet,blur,red_gd,fixed15p0,0.8,4.0,15.0,0.05,20.94311010360363,0.8332434790387732,0.02777777777777779,144
