dataset,input_pose,problem,algorithm,denoiser,train_sigma,schedule,rho,step,red_input_sigma,lambda,mode,base_group_size,num_iter,mean_final_psnr,mean_degraded_psnr,mean_final_se,mean_degraded_se,fail_rate,mean_gap_psnr,n,final_psnr_from_mean_se,degraded_psnr_from_mean_se
val_images,rot45_padded,blur,red_gd,wavelet,15.0,fixed4p1,0.8,3.9603960396039612,1.4142135623730951,0.005,vanilla,0,20,32.64462656188787,28.959984049555874,0.0006257501491995841,0.0013868018804579318,0.0,3.6846425123319912,10,32.03599038169522,28.57985578126147
val_images,rot45_padded,blur,red_gd,wavelet,15.0,fixed5p0,0.8,3.8461538461538467,1.4142135623730951,0.02,vanilla,0,20,31.91050533240889,28.959984049555874,0.000731182248838993,0.0013868018804579318,0.0,2.95052128285301,10,31.359743606616046,28.57985578126147
val_images,rot45_padded,blur,red_gd,wavelet,15.0,fixed5p0,0.8,3.921568627450981,1.4142135623730951,0.01,vanilla,0,20,32.385366184679086,28.959984049555874,0.0006613511330497916,0.0013868018804579318,0.0,3.4253821351232063,10,31.79567898068929,28.57985578126147
val_images,rot45_padded,blur,red_gd,wavelet,15.0,fixed5p0,0.8,3.9603960396039612,1.4142135623730951,0.005,vanilla,0,20,32.63042914070914,28.959984049555874,0.0006281805585842759,0.0013868018804579318,0.0,3.6704450911532605,10,32.0191550860963,28.57985578126147
val_images,rot45_padded,inpaint,pnp_hqs,tv,15.0,fixed10p0,0.4,0.5,0.0,0.15,vanilla,0,20,29.20320002559676,15.447961538512782,0.0013313599228110193,0.03454611518060997,0.0,13.755238487083977,10,28.7570452051338,14.616007833254907
val_images,rot45_padded,inpaint,pnp_hqs,tv,15.0,fixed10p0,0.8,0.5,0.0,0.15,vanilla,0,20,28.612684791152713,15.447961538512782,0.0015157796692965445,0.03454611518060997,0.0,13.164723252639927,10,28.19363922294272,14.616007833254907
val_images,rot45_padded,inpaint,pnp_hqs,tv,15.0,fixed15p0,0.4,0.5,0.0,0.15,vanilla,0,20,29.20320002559676,15.447961538512782,0.0013313599228110193,0.03454611518060997,0.0,13.755238487083977,10,28.7570452051338,14.616007833254907
val_images,rot45_padded,inpaint,pnp_hqs,tv,15.0,fixed15p0,0.8,0.5,0.0,0.15,vanilla,0,20,28.612684791152713,15.447961538512782,0.0015157796692965445,0.03454611518060997,0.0,13.164723252639927,10,28.19363922294272,14.616007833254907
val_images,rot45_padded,inpaint,pnp_hqs,tv,15.0,fixed3p0,0.4,0.5,0.0,0.15,vanilla,0,20,29.20320002559676,15.447961538512782,0.0013313599228110193,0.03454611518060997,0.0,13.755238487083977,10,28.7570452051338,14.616007833254907
val_images,rot45_padded,inpaint,pnp_hqs,tv,15.0,fixed3p0,0.8,0.5,0.0,0.15,vanilla,0,20,28.612684791152713,15.447961538512782,0.0015157796692965445,0.03454611518060997,0.0,13.164723252639927,10,28.19363922294272,14.616007833254907
val_images,rot45_padded,inpaint,pnp_hqs,tv,15.0,fixed5p0,0.4,0.5,0.0,0.15,vanilla,0,20,29.20320002559676,15.447961538512782,0.0013313599228110193,0.03454611518060997,0.0,13.755238487083977,10,28.7570452051338,14.616007833254907
val_images,rot45_padded,inpaint,pnp_hqs,tv,15.0,fixed5p0,0.8,0.5,0.0,0.15,vanilla,0,20,28.612684791152713,15.447961538512782,0.0015157796692965445,0.03454611518060997,0.0,13.164723252639927,10,28.19363922294272,14.616007833254907
val_images,rot45_padded,inpaint,pnp_hqs,tv,15.0,fixed7p5,0.4,0.5,0.0,0.15,vanilla,0,20,29.20320002559676,15.447961538512782,0.0013313599228110193,0.03454611518060997,0.0,13.755238487083977,10,28.7570452051338,14.616007833254907
val_images,rot45_padded,inpaint,pnp_hqs,tv,15.0,fixed7p5,0.8,0.5,0.0,0.15,vanilla,0,20,28.612684791152713,15.447961538512782,0.0015157796692965445,0.03454611518060997,0.0,13.164723252639927,10,28.19363922294272,14.616007833254907
