dataset,denoiser,noise_sigma,angle_index,angle_deg,estimator,group_size,mean_se,mean_psnr,n,psnr_from_mean_se,save_dir
val_images,nlm,15.0,28,140.0,group_avg,16,0.0002135439004104,37.05111988420818,20,36.70512829088061,results/figure5_angle_psnr_grid/sigma15/val_images/nlm
val_images,nlm,15.0,28,140.0,group_avg,32,0.0002133436667678,37.05420381597767,20,36.70920244900373,results/figure5_angle_psnr_grid/sigma15/val_images/nlm
val_images,nlm,15.0,28,140.0,vanilla,0,0.0002222159755908,36.885660692289136,20,36.53224721895841,results/figure5_angle_psnr_grid/sigma15/val_images/nlm
val_images,nlm,15.0,29,145.0,group_avg,4,0.0002341884556836,36.65613915846862,20,36.30434517275872,results/figure5_angle_psnr_grid/sigma15/val_images/nlm
val_images,nlm,15.0,29,145.0,group_avg,8,0.0002331406179145,36.67031583180715,20,36.32382056812132,results/figure5_angle_psnr_grid/sigma15/val_images/nlm
val_images,nlm,15.0,29,145.0,group_avg,16,0.0002323430251369,36.68438792424898,20,36.33870360370348,results/figure5_angle_psnr_grid/sigma15/val_images/nlm
val_images,nlm,15.0,29,145.0,group_avg,32,0.0002317082230632,36.697422977029966,20,36.35058553315701,results/figure5_angle_psnr_grid/sigma15/val_images/nlm
val_images,nlm,15.0,29,145.0,vanilla,0,0.0002421552169749,36.50965637879558,20,36.15906170106935,results/figure5_angle_psnr_grid/sigma15/val_images/nlm
val_images,nlm,15.0,30,150.0,group_avg,4,0.0002587499727446,36.21878211625093,20,35.87119687281364,results/figure5_angle_psnr_grid/sigma15/val_images/nlm
val_images,nlm,15.0,30,150.0,group_avg,8,0.0002573973586189,36.23795690961957,20,35.89395914087033,results/figure5_angle_psnr_grid/sigma15/val_images/nlm
val_images,nlm,15.0,30,150.0,group_avg,16,0.0002562077530724,36.25788535547012,20,35.91407732258575,results/figure5_angle_psnr_grid/sigma15/val_images/nlm
val_images,nlm,15.0,30,150.0,group_avg,32,0.0002556833477452,36.26746461848987,20,35.92297555969913,results/figure5_angle_psnr_grid/sigma15/val_images/nlm
val_images,nlm,15.0,30,150.0,vanilla,0,0.000267503745539,36.07374918791886,20,35.726701326874704,results/figure5_angle_psnr_grid/sigma15/val_images/nlm
val_images,nlm,15.0,31,155.0,group_avg,4,0.0002869956497724,35.76619476413333,20,35.4212468617248,results/figure5_angle_psnr_grid/sigma15/val_images/nlm
val_images,nlm,15.0,31,155.0,group_avg,8,0.0002848208375289,35.799090111036385,20,35.45428240833004,results/figure5_angle_psnr_grid/sigma15/val_images/nlm
val_images,nlm,15.0,31,155.0,group_avg,16,0.0002829814590797,35.828889003602235,20,35.48242018479657,results/figure5_angle_psnr_grid/sigma15/val_images/nlm
val_images,nlm,15.0,31,155.0,group_avg,32,0.0002829933399041,35.82675733549145,20,35.48223785242131,results/figure5_angle_psnr_grid/sigma15/val_images/nlm
val_images,nlm,15.0,31,155.0,vanilla,0,0.0002967701909573,35.62043948898441,20,35.27579723854224,results/figure5_angle_psnr_grid/sigma15/val_images/nlm
val_images,nlm,15.0,32,160.0,group_avg,4,0.000321716875112,35.267607363047446,20,34.92526158321465,results/figure5_angle_psnr_grid/sigma15/val_images/nlm
val_images,nlm,15.0,32,160.0,group_avg,8,0.0003185510580085,35.312944471343094,20,34.968209481505696,results/figure5_angle_psnr_grid/sigma15/val_images/nlm
val_images,nlm,15.0,32,160.0,group_avg,16,0.0003167138188995,35.33917865774171,20,34.99332987020013,results/figure5_angle_psnr_grid/sigma15/val_images/nlm
val_images,nlm,15.0,32,160.0,group_avg,32,0.0003167153154277,35.33742727852822,20,34.99330934907354,results/figure5_angle_psnr_grid/sigma15/val_images/nlm
val_images,nlm,15.0,32,160.0,vanilla,0,0.0003327123217386,35.12168125208712,20,34.779311150794776,results/figure5_angle_psnr_grid/sigma15/val_images/nlm
val_images,nlm,15.0,33,165.0,group_avg,4,0.0003656669279534,34.70655780487417,20,34.369143168203244,results/figure5_angle_psnr_grid/sigma15/val_images/nlm
val_images,nlm,15.0,33,165.0,group_avg,8,0.0003611114437863,34.76708417218144,20,34.42358748364828,results/figure5_angle_psnr_grid/sigma15/val_images/nlm
