E_x_EhSE_hx,E_x_SEavg_x,E_x_e1,E_x_EhSE_minus_SEavg,E_x_EhSE_hx_psnr,E_x_SEavg_x_psnr,sigma,dataset,model,group,averaging,num_noise,noise_sigma,noise_mask,se_mask,max_images,save_dir
0.0034313486648149,0.0033265024560651,0.0001330310428609,0.0001048462087497,24.64535150346122,24.780121515640417,50.0,val_images_circle,bm3d,fourier_rotation,32,2,50.0,circle,circle,10,results/q2_orbit_averaging_grid/sigma50/val_images_circle/bm3d
0.0045968510712508,0.0043541904947322,0.0001171050316093,0.0002426605765186,23.375395662913892,23.61092574605609,50.0,val_images,nlm,fourier_rotation,8,2,50.0,none,none,10,results/q2_orbit_averaging_grid/sigma50/val_images/nlm
0.0046135473989138,0.004358886243003,0.0001247489898853,0.0002546611559108,23.35965013151625,23.60624464930637,50.0,val_images,nlm,fourier_rotation,16,2,50.0,none,none,10,results/q2_orbit_averaging_grid/sigma50/val_images/nlm
0.0046197171929304,0.0043614861498861,0.000125727285007,0.0002582310430443,23.353846100086137,23.60365502309461,50.0,val_images,nlm,fourier_rotation,32,2,50.0,none,none,10,results/q2_orbit_averaging_grid/sigma50/val_images/nlm
0.0051090993625629,0.0049035570455612,0.0001416887333185,0.0002055423170017,22.916556510086377,23.094887679670165,50.0,val_images_circle,nlm,fourier_rotation,8,2,50.0,circle,circle,10,results/q2_orbit_averaging_grid/sigma50/val_images_circle/nlm
0.0051137957900448,0.004901441136377,0.0001509754919897,0.0002123546536678,22.912566187084757,23.0967620863353,50.0,val_images_circle,nlm,fourier_rotation,16,2,50.0,circle,circle,10,results/q2_orbit_averaging_grid/sigma50/val_images_circle/nlm
0.0051149402855824,0.0049010830946977,0.0001528808051625,0.0002138571908847,22.911594320971595,23.09707934242568,50.0,val_images_circle,nlm,fourier_rotation,32,2,50.0,circle,circle,10,results/q2_orbit_averaging_grid/sigma50/val_images_circle/nlm
0.0219576261535221,0.0076771428469688,0.0058002674022413,0.0142804833065533,16.58414613409208,21.148003784926463,50.0,val_images,restormer,fourier_rotation,8,2,50.0,none,none,10,results/q2_orbit_averaging_grid/sigma50/val_images/restormer
0.0236861193964744,0.0114485553986024,0.0076097404401463,0.012237563997872,16.255060858685056,19.4124931000497,50.0,val_images,restormer,fourier_rotation,16,2,50.0,none,none,10,results/q2_orbit_averaging_grid/sigma50/val_images/restormer
0.024276444444403,0.013525990813326,0.0081775986176472,0.0107504536310769,16.148149202018008,18.688309118776395,50.0,val_images,restormer,fourier_rotation,32,2,50.0,none,none,10,results/q2_orbit_averaging_grid/sigma50/val_images/restormer
0.023287817573934,0.0066502372618334,0.0057440897385285,0.0166375803121006,16.328712096194046,21.771628600101465,50.0,val_images_circle,restormer,fourier_rotation,8,2,50.0,circle,circle,10,results/q2_orbit_averaging_grid/sigma50/val_images_circle/restormer
0.0247814745587764,0.010644673949821,0.0073357040813481,0.0141368006089553,16.05872855599705,19.728676366175957,50.0,val_images_circle,restormer,fourier_rotation,16,2,50.0,circle,circle,10,results/q2_orbit_averaging_grid/sigma50/val_images_circle/restormer
0.0250689736071865,0.0130330487398272,0.0077850380531015,0.0120359248673592,16.008634468898208,18.8495398060298,50.0,val_images_circle,restormer,fourier_rotation,32,2,50.0,circle,circle,10,results/q2_orbit_averaging_grid/sigma50/val_images_circle/restormer
0.0056650556613657,0.0053608000438678,0.0003385019026466,0.0003042556174978,22.467958186681493,22.707703915182744,50.0,val_images,tv,fourier_rotation,8,2,50.0,none,none,10,results/q2_orbit_averaging_grid/sigma50/val_images/tv
0.0057164349746424,0.0053397856847541,0.0004170987598594,0.0003766492898883,22.42874732312896,22.724761732704103,50.0,val_images,tv,fourier_rotation,16,2,50.0,none,none,10,results/q2_orbit_averaging_grid/sigma50/val_images/tv
0.0057494204754389,0.0053411552510285,0.0004523631082293,0.0004082652244103,22.40375928702211,22.72364798236612,50.0,val_images,tv,fourier_rotation,32,2,50.0,none,none,10,results/q2_orbit_averaging_grid/sigma50/val_images/tv
0.0064804031641059,0.0061107281813758,0.0004613465440815,0.00036967498273,21.88397974607817,22.139070342238934,50.0,val_images_circle,tv,fourier_rotation,8,2,50.0,circle,circle,10,results/q2_orbit_averaging_grid/sigma50/val_images_circle/tv
0.006303503276014,0.0058940401724748,0.0005559761838311,0.0004094631035391,22.00418017121546,22.29586908420824,50.0,val_images_circle,tv,fourier_rotation,16,2,50.0,circle,circle,10,results/q2_orbit_averaging_grid/sigma50/val_images_circle/tv
0.0062200449443574,0.0058063636858633,0.0005936438712542,0.0004136812584941,22.062064772037296,22.360957652978477,50.0,val_images_circle,tv,fourier_rotation,32,2,50.0,circle,circle,10,results/q2_orbit_averaging_grid/sigma50/val_images_circle/tv
0.009972704457875,0.0076003431511825,0.0017099486174911,0.0023723613066924,20.01187051130764,21.19166799127008,50.0,val_images,wavelet,fourier_rotation,8,2,50.0,none,none,10,results/q2_orbit_averaging_grid/sigma50/val_images/wavelet
0.010345329281802,0.0074287024337449,0.0021170462865043,0.002916626848057,19.852556816059096,21.290870375283795,50.0,val_images,wavelet,fourier_rotation,16,2,50.0,none,none,10,results/q2_orbit_averaging_grid/sigma50/val_images/wavelet
0.0105673124868619,0.0073624315306991,0.0023249656777109,0.0032048809561627,19.760354498290763,21.329787310473268,50.0,val_images,wavelet,fourier_rotation,32,2,50.0,none,none,10,results/q2_orbit_averaging_grid/sigma50/val_images/wavelet
0.0127930694840012,0.0102869158404662,0.0019350653166752,0.002506153643535,18.93025241289253,19.87714813210075,50.0,val_images_circle,wavelet,fourier_rotation,8,2,50.0,circle,circle,10,results/q2_orbit_averaging_grid/sigma50/val_images_circle/wavelet
0.012788144255795,0.00957626529896,0.0026052480186534,0.0032118789568349,18.931924733432336,20.18803830826541,50.0,val_images_circle,wavelet,fourier_rotation,16,2,50.0,circle,circle,10,results/q2_orbit_averaging_grid/sigma50/val_images_circle/wavelet
0.0127768449399459,0.0092474648219532,0.0028970102678389,0.0035293801179927,18.93576375781407,20.33977312098067,50.0,val_images_circle,wavelet,fourier_rotation,32,2,50.0,circle,circle,10,results/q2_orbit_averaging_grid/sigma50/val_images_circle/wavelet
